"No","Nama Data","Motor Bensin (Honda BeAT CBS)","Motor Listrik (Polytron Fox R)","Satuan","Sumber & Catatan / Asumsi"
1,"Harga OTR Jakarta",19155000,20500000,"Rp","Polytron.co.id (OTR normal sebelum subsidi)."
2,"Subsidi Pemerintah (EV)",0,5000000,"Rp","Skenario Rencana 2026 (Kemenko Perekonomian)."
3,"Harga Beli Efektif",19155000,15500000,"Rp","Bensin: OTR. EV: OTR dikurangi Subsidi."
4,"PKB Tahunan",287000,0,"Rp/tahun","Bensin: Asumsi 1.5% - 2% dari NJKB. EV: 0% (Permendagri No.11 2026 / Kepgub DKI 446/2026)."
5,"SWDKLLJ (asuransi jalan)",35000,35000,"Rp/tahun","Tarif flat Jasa Raharja untuk roda dua <250cc, tetap dibayar meski PKB 0."
6,"BBNKB",0,0,"Rp","Termasuk di OTR. EV mendapatkan pembebasan BBNKB 0% (insentif daerah)."
7,"Kapasitas Baterai",0,3.74,"kWh","Website Polytron EV (Digunakan untuk hitung biaya charging TCO)."
8,"Claimed Range",0,130,"km/charge","Website Polytron EV."
9,"Biaya Sewa Baterai Bulanan",0,200000,"Rp/bulan","Sistem BaaS Polytron."
